task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,718507.0576923077,0.0002997964859110542,,,,,,
0,1.0,BASE,487933.98798076925,0.00029918650146218856,,,,,,
0,2.0,BASE,310876.71754807694,0.00029817171857837797,,,,,,
0,3.0,BASE,171610.4326923077,0.00029675491870897016,,,,,,
0,4.0,BASE,55105.849421574516,0.00029493998520392666,,,,,,
0,5.0,BASE,-40887.340632512016,0.0002927318926698304,,,,,,
0,6.0,BASE,-114575.6640625,0.0002901366933348345,,,,,,
0,7.0,BASE,-170768.140625,0.0002871615004599263,,,,,,
0,8.0,BASE,-216351.54086538462,0.0002838144688419727,,,,,,
0,9.0,BASE,-253773.07692307694,0.00028010477246198927,,,,,,
0,10.0,BASE,-284306.96153846156,0.00027604257933989555,,,,,,
0,11.0,BASE,-310721.60096153844,0.00027163902366467976,,,,,,
0,12.0,BASE,-334380.48076923075,0.00026690617527636023,,,,,,
0,13.0,BASE,-353013.8485576923,0.0002618570065833931,,,,,,
0,14.0,BASE,-366360.3125,0.0002565053570062024,,,,,,
0,15.0,BASE,-380016.8028846154,0.00025086589504429055,,,,,,
0,16.0,BASE,-391356.3846153846,0.00024495407807090095,,,,,,
0,17.0,BASE,-404532.8533653846,0.00023878610996543232,,,,,,
0,18.0,BASE,-417516.4639423077,0.00023237889669973157,,,,,,
0,19.0,BASE,-431439.5625,0.00022575000000000004,,,,,,
0,20.0,BASE,-443643.57451923075,0.00021891758921132272,,,,,,
0,21.0,BASE,-456155.14182692306,0.0002119003914967564,,,,,,
0,22.0,BASE,-468148.5985576923,0.00020471764050747717,,,,,,
0,23.0,BASE,-478748.30528846156,0.00019738902366467974,,,,,,
0,24.0,BASE,-489207.9423076923,0.00018993462819772436,,,,,,
0,25.0,BASE,-498836.30048076925,0.00018237488608643726,,,,,,
0,26.0,BASE,-508098.6201923077,0.0001747305180584743,,,,,,
0,27.0,BASE,-516489.42307692306,0.00016702247679524656,,,,,,
0,28.0,BASE,-524467.3293269231,0.00015927188950207714,,,,,,
0,29.0,BASE,-532145.2067307692,0.00015150000000000002,,,,,,
0,30.0,BASE,-537983.5745192308,0.00014372811049792285,,,,,,
0,31.0,BASE,-544365.7548076923,0.00013597752320475346,,,,,,
0,32.0,BASE,-550297.8028846154,0.0001282694819415257,,,,,,
0,33.0,BASE,-556762.7355769231,0.00012062511391356272,,,,,,
0,34.0,BASE,-562102.0480769231,0.00011306537180227568,,,,,,
0,35.0,BASE,-567942.2932692308,0.00010561097633532032,,,,,,
0,36.0,BASE,-573934.5,9.828235949252291e-05,,,,,,
0,37.0,BASE,-579319.9326923077,9.10996085032437e-05,,,,,,
0,38.0,BASE,-584759.8461538461,8.408241078867731e-05,,,,,,
0,39.0,BASE,-589945.3461538461,7.725000000000003e-05,,,,,,
0,40.0,BASE,-594604.25,7.062110330026853e-05,,,,,,
0,41.0,BASE,-599314.1730769231,6.421389003456776e-05,,,,,,
0,42.0,BASE,-603067.0625,5.804592192909917e-05,,,,,,
0,43.0,BASE,-606929.5432692308,5.213410495570961e-05,,,,,,
0,44.0,BASE,-610294.5817307692,4.6494642993797704e-05,,,,,,
0,45.0,BASE,-613278.7884615385,4.114299341660699e-05,,,,,,
0,46.0,BASE,-616304.2451923077,3.6093824723639826e-05,,,,,,
0,47.0,BASE,-619063.2163461539,3.136097633532032e-05,,,,,,
0,48.0,BASE,-621383.9182692308,2.6957420660104545e-05,,,,,,
0,49.0,BASE,-623653.1971153846,2.2895227538010853e-05,,,,,,
0,50.0,BASE,-625331.9278846154,1.9185531158027386e-05,,,,,,
0,51.0,BASE,-627082.9182692308,1.5838499540073755e-05,,,,,,
0,52.0,BASE,-628318.8894230769,1.286330666516554e-05,,,,,,
0,53.0,BASE,-629575.0817307692,1.0268107330169699e-05,,,,,,
0,54.0,BASE,-630707.2259615385,8.060014796073354e-06,,,,,,
0,55.0,BASE,-631604.6057692308,6.245081291029853e-06,,,,,,
0,56.0,BASE,-632249.6634615385,4.828281421622056e-06,,,,,,
0,57.0,BASE,-632429.4711538461,3.813498537811399e-06,,,,,,
0,58.0,BASE,-632944.3509615385,3.2035140889457853e-06,,,,,,
0,59.0,BASE,-633194.0721153846,2.9999999999999997e-06,,,,,,
1,0.0,FAST,49692572.85714286,0.00015,,,,,,
1,1.0,FAST,14986710.714285715,0.0003,,,,,,
1,2.0,FAST,3523250.8571428573,0.0002997964859110542,,,,,,
1,3.0,FAST,1432613.6160714286,0.00029918650146218856,,,,,,
1,4.0,FAST,780946.5401785715,0.00029817171857837797,,,,,,
1,5.0,FAST,528053.1205357143,0.00029675491870897016,,,,,,
1,6.0,FAST,412075.47098214284,0.00029493998520392666,,,,,,
1,7.0,FAST,342437.53348214284,0.0002927318926698304,,,,,,
1,8.0,FAST,285961.59598214284,0.0002901366933348345,,,,,,
1,9.0,FAST,236143.77232142858,0.0002871615004599263,,,,,,
1,10.0,FAST,193023.6294642857,0.0002838144688419727,,,,,,
1,11.0,FAST,155104.3125,0.00028010477246198927,,,,,,
1,12.0,FAST,121106.69140625,0.00027604257933989555,,,,,,
1,13.0,FAST,89337.33091517857,0.00027163902366467976,,,,,,
1,14.0,FAST,59742.86188616072,0.00026690617527636023,,,,,,
1,15.0,FAST,31898.595842633928,0.0002618570065833931,,,,,,
1,16.0,FAST,5344.1202392578125,0.0002565053570062024,,,,,,
1,17.0,FAST,-19988.421316964286,0.00025086589504429055,,,,,,
1,18.0,FAST,-44028.07896205357,0.00024495407807090095,,,,,,
1,19.0,FAST,-67082.99386160714,0.00023878610996543232,,,,,,
1,20.0,FAST,-89132.9453125,0.00023237889669973157,,,,,,
1,21.0,FAST,-110242.69977678571,0.00022575000000000004,,,,,,
1,22.0,FAST,-130449.96540178571,0.00021891758921132272,,,,,,
1,23.0,FAST,-150062.8046875,0.0002119003914967564,,,,,,
1,24.0,FAST,-168815.73325892858,0.00020471764050747717,,,,,,
1,25.0,FAST,-186641.42745535713,0.00019738902366467974,,,,,,
1,26.0,FAST,-203727.5513392857,0.00018993462819772436,,,,,,
1,27.0,FAST,-220059.92299107142,0.00018237488608643726,,,,,,
1,28.0,FAST,-235729.0345982143,0.0001747305180584743,,,,,,
1,29.0,FAST,-250604.2220982143,0.00016702247679524656,,,,,,
1,30.0,FAST,-264866.76116071426,0.00015927188950207714,,,,,,
1,31.0,FAST,-278386.52678571426,0.00015150000000000002,,,,,,
1,32.0,FAST,-291196.1183035714,0.00014372811049792285,,,,,,
1,33.0,FAST,-303352.1160714286,0.00013597752320475346,,,,,,
1,34.0,FAST,-314928.31696428574,0.0001282694819415257,,,,,,
1,35.0,FAST,-325735.12053571426,0.00012062511391356272,,,,,,
1,36.0,FAST,-335959.71428571426,0.00011306537180227568,,,,,,
1,37.0,FAST,-345492.7254464286,0.00010561097633532032,,,,,,
1,38.0,FAST,-354444.82589285716,9.828235949252291e-05,,,,,,
1,39.0,FAST,-362751.77901785716,9.10996085032437e-05,,,,,,
1,40.0,FAST,-370406.33258928574,8.408241078867731e-05,,,,,,
1,41.0,FAST,-377500.52678571426,7.725000000000003e-05,,,,,,
1,42.0,FAST,-384061.19196428574,7.062110330026853e-05,,,,,,
1,43.0,FAST,-390048.8125,6.421389003456776e-05,,,,,,
1,44.0,FAST,-395488.5848214286,5.804592192909917e-05,,,,,,
1,45.0,FAST,-400429.90178571426,5.213410495570961e-05,,,,,,
1,46.0,FAST,-404908.68303571426,4.6494642993797704e-05,,,,,,
1,47.0,FAST,-408924.09151785716,4.114299341660699e-05,,,,,,
1,48.0,FAST,-412502.875,3.6093824723639826e-05,,,,,,
1,49.0,FAST,-415636.62053571426,3.136097633532032e-05,,,,,,
1,50.0,FAST,-418362.7879464286,2.6957420660104545e-05,,,,,,
1,51.0,FAST,-420741.67633928574,2.2895227538010853e-05,,,,,,
1,52.0,FAST,-422770.24776785716,1.9185531158027386e-05,,,,,,
1,53.0,FAST,-424487.86383928574,1.5838499540073755e-05,,,,,,
1,54.0,FAST,-425915.578125,1.286330666516554e-05,,,,,,
1,55.0,FAST,-427095.35714285716,1.0268107330169699e-05,,,,,,
1,56.0,FAST,-428041.68303571426,8.060014796073354e-06,,,,,,
1,57.0,FAST,-428793.93303571426,6.245081291029853e-06,,,,,,
1,58.0,FAST,-429380.6004464286,4.828281421622056e-06,,,,,,
1,59.0,FAST,-429835.36383928574,3.813498537811399e-06,,,,,,
2,0.0,FAST,-290709.5336538461,0.00015,,,,,,
2,1.0,FAST,-335880.51442307694,0.0003,,,,,,
2,2.0,FAST,-385069.48557692306,0.0002997964859110542,,,,,,
2,3.0,FAST,-428928.9278846154,0.00029918650146218856,,,,,,
2,4.0,FAST,-469526.5649038461,0.00029817171857837797,,,,,,
2,5.0,FAST,-507679.2764423077,0.00029675491870897016,,,,,,
2,6.0,FAST,-544390.5865384615,0.00029493998520392666,,,,,,
2,7.0,FAST,-580081.5865384615,0.0002927318926698304,,,,,,
2,8.0,FAST,-614840.0576923077,0.0002901366933348345,,,,,,
2,9.0,FAST,-649373.4038461539,0.0002871615004599263,,,,,,
2,10.0,FAST,-683716.2836538461,0.0002838144688419727,,,,,,
2,11.0,FAST,-716817.9423076923,0.00028010477246198927,,,,,,
2,12.0,FAST,-748163.8125,0.00027604257933989555,,,,,,
2,13.0,FAST,-777488.2211538461,0.00027163902366467976,,,,,,
2,14.0,FAST,-805031.5288461539,0.00026690617527636023,,,,,,
2,15.0,FAST,-830895.3990384615,0.0002618570065833931,,,,,,
2,16.0,FAST,-855772.2980769231,0.0002565053570062024,,,,,,
2,17.0,FAST,-879108.5384615385,0.00025086589504429055,,,,,,
2,18.0,FAST,-901245.7259615385,0.00024495407807090095,,,,,,
2,19.0,FAST,-922196.7451923077,0.00023878610996543232,,,,,,
2,20.0,FAST,-941843.6634615385,0.00023237889669973157,,,,,,
2,21.0,FAST,-960595.9278846154,0.00022575000000000004,,,,,,
2,22.0,FAST,-978580.5625,0.00021891758921132272,,,,,,
2,23.0,FAST,-995336.7980769231,0.0002119003914967564,,,,,,
2,24.0,FAST,-1011502.6923076923,0.00020471764050747717,,,,,,
2,25.0,FAST,-1026777.5480769231,0.00019738902366467974,,,,,,
2,26.0,FAST,-1040843.9278846154,0.00018993462819772436,,,,,,
2,27.0,FAST,-1054526.1346153845,0.00018237488608643726,,,,,,
2,28.0,FAST,-1067351.048076923,0.0001747305180584743,,,,,,
2,29.0,FAST,-1079496.9903846155,0.00016702247679524656,,,,,,
2,30.0,FAST,-1091068.8076923077,0.00015927188950207714,,,,,,
2,31.0,FAST,-1101837.7788461538,0.00015150000000000002,,,,,,
2,32.0,FAST,-1111930.576923077,0.00014372811049792285,,,,,,
