task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,1833.8270169771636,0.0002997964859110542,,,,,,
0,1.0,BASE,1042.7963538536658,0.00029918650146218856,,,,,,
0,2.0,BASE,842.0540771484375,0.00029817171857837797,,,,,,
0,3.0,BASE,701.5626314603365,0.00029675491870897016,,,,,,
0,4.0,BASE,582.9133817232572,0.00029493998520392666,,,,,,
0,5.0,BASE,494.1179645244892,0.0002927318926698304,,,,,,
0,6.0,BASE,424.56358924278845,0.0002901366933348345,,,,,,
0,7.0,BASE,364.80418513371393,0.0002871615004599263,,,,,,
0,8.0,BASE,316.9525076059195,0.0002838144688419727,,,,,,
0,9.0,BASE,274.3126408503606,0.00028010477246198927,,,,,,
0,10.0,BASE,238.0226851243239,0.00027604257933989555,,,,,,
0,11.0,BASE,204.84546485314002,0.00027163902366467976,,,,,,
0,12.0,BASE,172.97236985426682,0.00026690617527636023,,,,,,
0,13.0,BASE,141.64903552715595,0.0002618570065833931,,,,,,
0,14.0,BASE,113.33614642803485,0.0002565053570062024,,,,,,
0,15.0,BASE,89.14418147160457,0.00025086589504429055,,,,,,
0,16.0,BASE,68.04898247352013,0.00024495407807090095,,,,,,
0,17.0,BASE,45.45666812016414,0.00023878610996543232,,,,,,
0,18.0,BASE,25.94416750394381,0.00023237889669973157,,,,,,
0,19.0,BASE,6.536862822679373,0.00022575000000000004,,,,,,
0,20.0,BASE,-12.396700281363268,0.00021891758921132272,,,,,,
0,21.0,BASE,-31.311213419987606,0.0002119003914967564,,,,,,
0,22.0,BASE,-48.2242191021259,0.00020471764050747717,,,,,,
0,23.0,BASE,-63.48620693500225,0.00019738902366467974,,,,,,
0,24.0,BASE,-80.01398790799655,0.00018993462819772436,,,,,,
0,25.0,BASE,-94.57341883732722,0.00018237488608643726,,,,,,
0,26.0,BASE,-107.85315645658054,0.0001747305180584743,,,,,,
0,27.0,BASE,-122.81890458327074,0.00016702247679524656,,,,,,
0,28.0,BASE,-134.96719653789813,0.00015927188950207714,,,,,,
0,29.0,BASE,-147.2578899676983,0.00015150000000000002,,,,,,
0,30.0,BASE,-158.9007051908053,0.00014372811049792285,,,,,,
0,31.0,BASE,-169.25834773137018,0.00013597752320475346,,,,,,
0,32.0,BASE,-180.87094233586237,0.0001282694819415257,,,,,,
0,33.0,BASE,-190.77040217472955,0.00012062511391356272,,,,,,
0,34.0,BASE,-200.67918278620795,0.00011306537180227568,,,,,,
0,35.0,BASE,-209.54793255145734,0.00010561097633532032,,,,,,
0,36.0,BASE,-218.87544837364783,9.828235949252291e-05,,,,,,
0,37.0,BASE,-227.33443274864783,9.10996085032437e-05,,,,,,
0,38.0,BASE,-235.40504690317007,8.408241078867731e-05,,,,,,
0,39.0,BASE,-242.656494140625,7.725000000000003e-05,,,,,,
0,40.0,BASE,-248.9849865253155,7.062110330026853e-05,,,,,,
0,41.0,BASE,-255.02713364821213,6.421389003456776e-05,,,,,,
0,42.0,BASE,-259.4036935659555,5.804592192909917e-05,,,,,,
0,43.0,BASE,-264.50198716383716,5.213410495570961e-05,,,,,,
0,44.0,BASE,-269.2376779409555,4.6494642993797704e-05,,,,,,
0,45.0,BASE,-272.3087557279147,4.114299341660699e-05,,,,,,
0,46.0,BASE,-276.8197021484375,3.6093824723639826e-05,,,,,,
0,47.0,BASE,-280.142578125,3.136097633532032e-05,,,,,,
0,48.0,BASE,-283.2171137883113,2.6957420660104545e-05,,,,,,
0,49.0,BASE,-286.9214336688702,2.2895227538010853e-05,,,,,,
0,50.0,BASE,-288.787102332482,1.9185531158027386e-05,,,,,,
0,51.0,BASE,-290.78536283052887,1.5838499540073755e-05,,,,,,
0,52.0,BASE,-292.9154005784255,1.286330666516554e-05,,,,,,
0,53.0,BASE,-294.55513822115387,1.0268107330169699e-05,,,,,,
0,54.0,BASE,-295.53846388596753,8.060014796073354e-06,,,,,,
0,55.0,BASE,-296.8951862041767,6.245081291029853e-06,,,,,,
0,56.0,BASE,-297.44125600961536,4.828281421622056e-06,,,,,,
0,57.0,BASE,-298.30329073392426,3.813498537811399e-06,,,,,,
0,58.0,BASE,-298.8838407076322,3.2035140889457853e-06,,,,,,
0,59.0,BASE,-299.3423297588642,2.9999999999999997e-06,,,,,,
1,0.0,FAST,1069447.7970145089,0.00015,,,,,,
1,1.0,FAST,1608.7636064801898,0.0003,,,,,,
1,2.0,FAST,647.3981366838727,0.0002997964859110542,,,,,,
1,3.0,FAST,580.8041861397879,0.00029918650146218856,,,,,,
1,4.0,FAST,548.6313236781529,0.00029817171857837797,,,,,,
1,5.0,FAST,503.759754725865,0.00029675491870897016,,,,,,
1,6.0,FAST,446.9596470424107,0.00029493998520392666,,,,,,
1,7.0,FAST,399.09859793526783,0.0002927318926698304,,,,,,
1,8.0,FAST,373.8573259626116,0.0002901366933348345,,,,,,
1,9.0,FAST,335.05569893973217,0.0002871615004599263,,,,,,
1,10.0,FAST,288.7486005510603,0.0002838144688419727,,,,,,
1,11.0,FAST,248.19879804338728,0.00028010477246198927,,,,,,
1,12.0,FAST,206.7175805228097,0.00027604257933989555,,,,,,
1,13.0,FAST,160.28558131626673,0.00027163902366467976,,,,,,
1,14.0,FAST,125.13481739589146,0.00026690617527636023,,,,,,
1,15.0,FAST,82.6006360735212,0.0002618570065833931,,,,,,
1,16.0,FAST,40.81551551818848,0.0002565053570062024,,,,,,
1,17.0,FAST,1.9846512845584325,0.00025086589504429055,,,,,,
1,18.0,FAST,-31.17635658809117,0.00024495407807090095,,,,,,
1,19.0,FAST,-64.1039011819022,0.00023878610996543232,,,,,,
1,20.0,FAST,-93.53542709350586,0.00023237889669973157,,,,,,
1,21.0,FAST,-118.49061965942383,0.00022575000000000004,,,,,,
1,22.0,FAST,-138.87106105259485,0.00021891758921132272,,,,,,
1,23.0,FAST,-162.3176029750279,0.0002119003914967564,,,,,,
1,24.0,FAST,-178.03391919817244,0.00020471764050747717,,,,,,
1,25.0,FAST,-185.53221566336495,0.00019738902366467974,,,,,,
1,26.0,FAST,-208.72405896868025,0.00018993462819772436,,,,,,
1,27.0,FAST,-225.49793243408203,0.00018237488608643726,,,,,,
1,28.0,FAST,-242.70391082763672,0.0001747305180584743,,,,,,
1,29.0,FAST,-255.03029305594308,0.00016702247679524656,,,,,,
1,30.0,FAST,-270.4133780343192,0.00015927188950207714,,,,,,
1,31.0,FAST,-283.0678514753069,0.00015150000000000002,,,,,,
1,32.0,FAST,-292.85633632114957,0.00014372811049792285,,,,,,
1,33.0,FAST,-302.9597407749721,0.00013597752320475346,,,,,,
1,34.0,FAST,-306.281008039202,0.0001282694819415257,,,,,,
1,35.0,FAST,-317.01780700683594,0.00012062511391356272,,,,,,
1,36.0,FAST,-327.0454864501953,0.00011306537180227568,,,,,,
1,37.0,FAST,-333.6882542201451,0.00010561097633532032,,,,,,
1,38.0,FAST,-343.50957162039623,9.828235949252291e-05,,,,,,
1,39.0,FAST,-351.6760493687221,9.10996085032437e-05,,,,,,
1,40.0,FAST,-361.03405107770647,8.408241078867731e-05,,,,,,
1,41.0,FAST,-366.4985896519252,7.725000000000003e-05,,,,,,
1,42.0,FAST,-374.0698460170201,7.062110330026853e-05,,,,,,
1,43.0,FAST,-381.0625196184431,6.421389003456776e-05,,,,,,
1,44.0,FAST,-386.2259783063616,5.804592192909917e-05,,,,,,
1,45.0,FAST,-391.7227260044643,5.213410495570961e-05,,,,,,
1,46.0,FAST,-396.35982622419084,4.6494642993797704e-05,,,,,,
1,47.0,FAST,-401.1490740094866,4.114299341660699e-05,,,,,,
1,48.0,FAST,-404.6975337437221,3.6093824723639826e-05,,,,,,
1,49.0,FAST,-407.44706290108815,3.136097633532032e-05,,,,,,
1,50.0,FAST,-411.10222298758373,2.6957420660104545e-05,,,,,,
1,51.0,FAST,-413.0348685128348,2.2895227538010853e-05,,,,,,
1,52.0,FAST,-415.74308122907365,1.9185531158027386e-05,,,,,,
1,53.0,FAST,-417.03306361607144,1.5838499540073755e-05,,,,,,
1,54.0,FAST,-419.0709926060268,1.286330666516554e-05,,,,,,
1,55.0,FAST,-420.95516095842635,1.0268107330169699e-05,,,,,,
1,56.0,FAST,-422.20194135393416,8.060014796073354e-06,,,,,,
1,57.0,FAST,-422.6728755405971,6.245081291029853e-06,,,,,,
1,58.0,FAST,-423.85772487095426,4.828281421622056e-06,,,,,,
1,59.0,FAST,-424.1546151297433,3.813498537811399e-06,,,,,,
2,0.0,FAST,165.7975368499756,0.00015,,,,,,
2,1.0,FAST,-95.89392772087685,0.0003,,,,,,
2,2.0,FAST,-137.80192389855017,0.0002997964859110542,,,,,,
2,3.0,FAST,-174.79385082538312,0.00029918650146218856,,,,,,
2,4.0,FAST,-232.15138831505408,0.00029817171857837797,,,,,,
2,5.0,FAST,-262.21390122633716,0.00029675491870897016,,,,,,
2,6.0,FAST,-262.28090139535755,0.00029493998520392666,,,,,,
2,7.0,FAST,-292.1472613994892,0.0002927318926698304,,,,,,
2,8.0,FAST,-313.9475989708534,0.0002901366933348345,,,,,,
2,9.0,FAST,-322.88997708834137,0.0002871615004599263,,,,,,
2,10.0,FAST,-357.876227745643,0.0002838144688419727,,,,,,
2,11.0,FAST,-373.0066317044772,0.00028010477246198927,,,,,,
2,12.0,FAST,-398.4645268366887,0.00027604257933989555,,,,,,
2,13.0,FAST,-412.66129713792066,0.00027163902366467976,,,,,,
2,14.0,FAST,-421.7100759652945,0.00026690617527636023,,,,,,
2,15.0,FAST,-428.98195002629205,0.0002618570065833931,,,,,,
2,16.0,FAST,-449.77931330754205,0.0002565053570062024,,,,,,
2,17.0,FAST,-450.99398099459137,0.00025086589504429055,,,,,,
2,18.0,FAST,-463.79205087515027,0.00024495407807090095,,,,,,
2,19.0,FAST,-481.93389188326324,0.00023878610996543232,,,,,,
2,20.0,FAST,-476.71405733548676,0.00023237889669973157,,,,,,
2,21.0,FAST,-494.740725003756,0.00022575000000000004,,,,,,
2,22.0,FAST,-519.5946655273438,0.00021891758921132272,,,,,,
2,23.0,FAST,-530.7259169358474,0.0002119003914967564,,,,,,
2,24.0,FAST,-536.1595905010516,0.00020471764050747717,,,,,,
2,25.0,FAST,-519.9980257474459,0.00019738902366467974,,,,,,
2,26.0,FAST,-544.4004892202524,0.00018993462819772436,,,,,,
2,27.0,FAST,-560.3299231896034,0.00018237488608643726,,,,,,
2,28.0,FAST,-570.7859778771034,0.0001747305180584743,,,,,,
2,29.0,FAST,-576.6453434870793,0.00016702247679524656,,,,,,
2,30.0,FAST,-586.1849787785457,0.00015927188950207714,,,,,,
2,31.0,FAST,-592.5610727163462,0.00015150000000000002,,,,,,
2,32.0,FAST,-600.4540217472957,0.00014372811049792285,,,,,,
2,33.0,FAST,-609.2922832782452,0.00013597752320475346,,,,,,
2,34.0,FAST,-616.3495530348557,0.0001282694819415257,,,,,,
2,35.0,FAST,-621.6206383338341,0.00012062511391356272,,,,,,
2,36.0,FAST,-627.3515155498798,0.00011306537180227568,,,,,,
2,37.0,FAST,-629.08837890625,0.00010561097633532032,,,,,,
