task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,181098.328125,9.984740801978984e-05,,,,,,
0,1.0,BASE,136701.27704326922,9.939057285945931e-05,,,,,,
0,2.0,BASE,86961.48257211539,9.863231105968498e-05,,,,,,
0,3.0,BASE,50517.590745192305,9.75772975566101e-05,,,,,,
0,4.0,BASE,20755.63972355769,9.623203685930868e-05,,,,,,
0,5.0,BASE,-813.3634690504807,9.46048229473242e-05,,,,,,
0,6.0,BASE,-16676.203951322117,9.270568813552755e-05,,,,,,
0,7.0,BASE,-28916.123197115383,9.054634122155989e-05,,,,,,
0,8.0,BASE,-38005.59314903846,8.814009529720152e-05,,,,,,
0,9.0,BASE,-45255.07301682692,8.550178566873408e-05,,,,,,
0,10.0,BASE,-51066.444411057695,8.264767839234409e-05,,,,,,
0,11.0,BASE,-56101.05679086538,7.959536998847741e-05,,,,,,
0,12.0,BASE,-60426.85486778846,7.636367895343945e-05,,,,,,
0,13.0,BASE,-63770.202223557695,7.297252973710755e-05,,,,,,
0,14.0,BASE,-66832.32842548077,6.944282990207194e-05,,,,,,
0,15.0,BASE,-69908.86598557692,6.57963412215599e-05,,,,,,
0,16.0,BASE,-72814.56550480769,6.205554551086731e-05,,,,,,
0,17.0,BASE,-75522.28665865384,5.824350601949142e-05,,,,,,
0,18.0,BASE,-77842.41586538461,5.438372523852832e-05,,,,,,
0,19.0,BASE,-79693.16346153847,5.0499999999999994e-05,,,,,,
0,20.0,BASE,-81391.06069711539,4.6616274761471674e-05,,,,,,
0,21.0,BASE,-82958.46394230769,4.275649398050858e-05,,,,,,
0,22.0,BASE,-84526.76201923077,3.894445448913268e-05,,,,,,
0,23.0,BASE,-85833.91346153847,3.52036587784401e-05,,,,,,
0,24.0,BASE,-87236.16766826923,3.155717009792805e-05,,,,,,
0,25.0,BASE,-88258.62620192308,2.802747026289243e-05,,,,,,
0,26.0,BASE,-89244.640625,2.463632104656053e-05,,,,,,
0,27.0,BASE,-90071.78425480769,2.1404630011522583e-05,,,,,,
0,28.0,BASE,-90948.82692307692,1.835232160765591e-05,,,,,,
0,29.0,BASE,-91544.43209134616,1.5498214331265897e-05,,,,,,
0,30.0,BASE,-92149.06790865384,1.2859904702798466e-05,,,,,,
0,31.0,BASE,-92783.31911057692,1.0453658778440104e-05,,,,,,
0,32.0,BASE,-93175.18449519231,8.294311864472434e-06,,,,,,
0,33.0,BASE,-93561.02223557692,6.395177052675791e-06,,,,,,
0,34.0,BASE,-93835.0703125,4.767963140691304e-06,,,,,,
0,35.0,BASE,-94155.17788461539,3.4227024433898985e-06,,,,,,
0,36.0,BASE,-94266.92728365384,2.3676889403150093e-06,,,,,,
0,37.0,BASE,-94396.86959134616,1.6094271405406855e-06,,,,,,
0,38.0,BASE,-94472.13521634616,1.1525919802101657e-06,,,,,,
0,39.0,BASE,-94554.15384615384,1.0000000000000002e-06,,,,,,
1,0.0,FAST,177454.00669642858,5e-05,,,,,,
1,1.0,FAST,147713.5943080357,0.0001,,,,,,
1,2.0,FAST,110292.91127232143,9.984740801978984e-05,,,,,,
1,3.0,FAST,90867.33258928571,9.939057285945931e-05,,,,,,
1,4.0,FAST,78802.31696428571,9.863231105968498e-05,,,,,,
1,5.0,FAST,70583.33649553571,9.75772975566101e-05,,,,,,
1,6.0,FAST,64092.318638392855,9.623203685930868e-05,,,,,,
1,7.0,FAST,58486.6796875,9.46048229473242e-05,,,,,,
1,8.0,FAST,53499.85435267857,9.270568813552755e-05,,,,,,
1,9.0,FAST,49295.773158482145,9.054634122155989e-05,,,,,,
1,10.0,FAST,45615.345982142855,8.814009529720152e-05,,,,,,
1,11.0,FAST,42448.15541294643,8.550178566873408e-05,,,,,,
1,12.0,FAST,39432.91127232143,8.264767839234409e-05,,,,,,
1,13.0,FAST,36751.47600446428,7.959536998847741e-05,,,,,,
1,14.0,FAST,34447.02134486607,7.636367895343945e-05,,,,,,
1,15.0,FAST,32435.164481026786,7.297252973710755e-05,,,,,,
1,16.0,FAST,30602.560546875,6.944282990207194e-05,,,,,,
1,17.0,FAST,29057.733537946428,6.57963412215599e-05,,,,,,
1,18.0,FAST,27695.882952008928,6.205554551086731e-05,,,,,,
1,19.0,FAST,26443.199079241072,5.824350601949142e-05,,,,,,
1,20.0,FAST,25214.25362723214,5.438372523852832e-05,,,,,,
1,21.0,FAST,24070.506417410714,5.0499999999999994e-05,,,,,,
1,22.0,FAST,23022.960797991072,4.6616274761471674e-05,,,,,,
1,23.0,FAST,22087.261300223214,4.275649398050858e-05,,,,,,
1,24.0,FAST,21259.61300223214,3.894445448913268e-05,,,,,,
