class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9802265317230966,False,1.0
cable,1,0.9891304347826086,0.9759662844606865,False,1.0
capsule,2,0.9621061029118467,0.9864472661754244,False,1.0
carpet,3,0.9935794542536116,0.9886457494278651,False,1.0
grid,4,0.9933166248955723,0.9758994501789001,False,1.0
hazelnut,5,1.0,0.987303688050068,False,1.0
leather,6,1.0,0.9906760940945899,False,1.0
metal_nut,7,1.0,0.9777253779183578,False,1.0
pill,8,0.9866339334424441,0.989906440152819,False,1.0
screw,9,0.9083828653412584,0.9809770543926924,False,1.0
tile,10,1.0,0.9648756101987741,True,1.0
Average,,0.984831765057031,0.9816954133430248,,1.0
Task_0_Average,0,1.0,0.9802265317230966,,1.0
Task_1_Average,1,0.9891304347826086,0.9759662844606865,,1.0
Task_2_Average,2,0.9621061029118467,0.9864472661754244,,1.0
Task_3_Average,3,0.9935794542536116,0.9886457494278651,,1.0
Task_4_Average,4,0.9933166248955723,0.9758994501789001,,1.0
Task_5_Average,5,1.0,0.987303688050068,,1.0
Task_6_Average,6,1.0,0.9906760940945899,,1.0
Task_7_Average,7,1.0,0.9777253779183578,,1.0
Task_8_Average,8,0.9866339334424441,0.989906440152819,,1.0
Task_9_Average,9,0.9083828653412584,0.9809770543926924,,1.0
Task_10_Average,10,1.0,0.9648756101987741,,1.0
