class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9840536521743922,False,1.0
cable,1,0.9638305847076462,0.9562780132643657,False,1.0
capsule,2,0.9585161547666534,0.9867303462199501,False,1.0
carpet,3,0.9819422150882825,0.98986440040165,False,1.0
grid,4,0.8604845446950711,0.967084702207546,False,1.0
hazelnut,5,0.9964285714285714,0.9863292511137655,False,1.0
leather,6,1.0,0.9930780519278438,False,1.0
metal_nut,7,1.0,0.9592017995536423,False,1.0
pill,8,0.9890889252591382,0.9871112632650351,False,1.0
screw,9,0.8604222176675549,0.9739237637771373,False,1.0
tile,10,0.9996392496392497,0.9639016376150018,False,1.0
toothbrush,11,0.9055555555555554,0.9801824260012532,False,1.0
transistor,12,0.9612499999999999,0.9038638780490408,False,1.0
wood,13,0.9543859649122808,0.9416440545680991,False,1.0
zipper,14,0.9871323529411764,0.9729312588565822,True,1.0
Average,,0.9612450891107452,0.9697452332663536,,1.0
Task_0_Average,0,1.0,0.9840536521743922,,1.0
Task_1_Average,1,0.9638305847076462,0.9562780132643657,,1.0
Task_2_Average,2,0.9585161547666534,0.9867303462199501,,1.0
Task_3_Average,3,0.9819422150882825,0.98986440040165,,1.0
Task_4_Average,4,0.8604845446950711,0.967084702207546,,1.0
Task_5_Average,5,0.9964285714285714,0.9863292511137655,,1.0
Task_6_Average,6,1.0,0.9930780519278438,,1.0
Task_7_Average,7,1.0,0.9592017995536423,,1.0
Task_8_Average,8,0.9890889252591382,0.9871112632650351,,1.0
Task_9_Average,9,0.8604222176675549,0.9739237637771373,,1.0
Task_10_Average,10,0.9996392496392497,0.9639016376150018,,1.0
Task_11_Average,11,0.9055555555555554,0.9801824260012532,,1.0
Task_12_Average,12,0.9612499999999999,0.9038638780490408,,1.0
Task_13_Average,13,0.9543859649122808,0.9416440545680991,,1.0
Task_14_Average,14,0.9871323529411764,0.9729312588565822,,1.0
