class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9840536521743922,False,1.0
cable,1,0.9638305847076462,0.9562780132643657,False,1.0
capsule,2,0.9585161547666534,0.9867303462199501,False,1.0
carpet,3,0.9819422150882825,0.98986440040165,False,1.0
grid,4,0.8604845446950711,0.967084702207546,False,1.0
hazelnut,5,0.9964285714285714,0.9863292511137655,True,1.0
Average,,0.9602003451143707,0.9783900608969449,,1.0
Task_0_Average,0,1.0,0.9840536521743922,,1.0
Task_1_Average,1,0.9638305847076462,0.9562780132643657,,1.0
Task_2_Average,2,0.9585161547666534,0.9867303462199501,,1.0
Task_3_Average,3,0.9819422150882825,0.98986440040165,,1.0
Task_4_Average,4,0.8604845446950711,0.967084702207546,,1.0
Task_5_Average,5,0.9964285714285714,0.9863292511137655,,1.0
