class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
candle,0,0.8169000000000001,0.9671116035973532,False,1.0
capsules,1,0.6815,0.9523329961793975,False,1.0
cashew,2,0.8128,0.976701028448906,False,1.0
chewinggum,3,0.8278000000000001,0.9864332964935562,False,1.0
fryum,4,0.9525999999999999,0.9092638762160993,False,1.0
macaroni1,5,0.7351000000000001,0.9704376406007122,True,1.0
Average,,0.80445,0.9603800735893374,,1.0
Task_0_Average,0,0.8169000000000001,0.9671116035973532,,1.0
Task_1_Average,1,0.6815,0.9523329961793975,,1.0
Task_2_Average,2,0.8128,0.976701028448906,,1.0
Task_3_Average,3,0.8278000000000001,0.9864332964935562,,1.0
Task_4_Average,4,0.9525999999999999,0.9092638762160993,,1.0
Task_5_Average,5,0.7351000000000001,0.9704376406007122,,1.0
