class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
candle,0,0.8901000000000001,0.8595837153514576,False,1.0
capsules,1,0.887,0.9485196600576484,False,1.0
cashew,2,0.9782,0.9794005665361656,False,1.0
chewinggum,3,0.9364,0.9478426339756193,False,1.0
fryum,4,0.9268,0.9342000338736209,False,1.0
macaroni1,5,0.8702,0.8709995661101368,True,1.0
Average,,0.9147833333333333,0.9234243626507749,,1.0
Task_0_Average,0,0.8901000000000001,0.8595837153514576,,1.0
Task_1_Average,1,0.887,0.9485196600576484,,1.0
Task_2_Average,2,0.9782,0.9794005665361656,,1.0
Task_3_Average,3,0.9364,0.9478426339756193,,1.0
Task_4_Average,4,0.9268,0.9342000338736209,,1.0
Task_5_Average,5,0.8702,0.8709995661101368,,1.0
