class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9814478114052283,False,1.0
cable,1,0.8487631184407796,0.8512701234787788,False,1.0
capsule,2,0.9178300757877942,0.9831381271193183,False,1.0
carpet,3,0.9402086677367576,0.9880308168414051,False,1.0
grid,4,0.6274018379281536,0.9152886700502513,True,1.0
Average,,0.866840739978697,0.9438351097789963,,1.0
Task_0_Average,0,1.0,0.9814478114052283,,1.0
Task_1_Average,1,0.8487631184407796,0.8512701234787788,,1.0
Task_2_Average,2,0.9178300757877942,0.9831381271193183,,1.0
Task_3_Average,3,0.9402086677367576,0.9880308168414051,,1.0
Task_4_Average,4,0.6274018379281536,0.9152886700502513,,1.0
