class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9763633089175469,False,1.0
cable,1,0.9747001499250375,0.9758477335498386,False,1.0
capsule,2,0.9708815317112086,0.9870575716722103,False,1.0
carpet,3,0.9963884430176566,0.9870368898606723,False,1.0
grid,4,0.9916457811194653,0.9719250100031613,False,1.0
hazelnut,5,0.9992857142857142,0.9819421950688042,False,1.0
leather,6,1.0,0.9883747453644858,False,1.0
metal_nut,7,1.0,0.9789728236446377,False,1.0
pill,8,0.978177850518276,0.9887568763003753,False,1.0
screw,9,0.9333879893420783,0.9863535488471881,False,1.0
tile,10,1.0,0.9554353665614282,True,1.0
Average,,0.9858606781744943,0.9798241881627588,,1.0
Task_0_Average,0,1.0,0.9763633089175469,,1.0
Task_1_Average,1,0.9747001499250375,0.9758477335498386,,1.0
Task_2_Average,2,0.9708815317112086,0.9870575716722103,,1.0
Task_3_Average,3,0.9963884430176566,0.9870368898606723,,1.0
Task_4_Average,4,0.9916457811194653,0.9719250100031613,,1.0
Task_5_Average,5,0.9992857142857142,0.9819421950688042,,1.0
Task_6_Average,6,1.0,0.9883747453644858,,1.0
Task_7_Average,7,1.0,0.9789728236446377,,1.0
Task_8_Average,8,0.978177850518276,0.9887568763003753,,1.0
Task_9_Average,9,0.9333879893420783,0.9863535488471881,,1.0
Task_10_Average,10,1.0,0.9554353665614282,,1.0
