class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9845329764801869,False,1.0
cable,1,0.9788230884557722,0.9703120429903067,False,1.0
capsule,2,0.944954128440367,0.9861773130059487,False,1.0
carpet,3,0.9947833065810594,0.990545284908506,False,1.0
grid,4,0.9883040935672515,0.9751413017387645,False,1.0
hazelnut,5,0.9996428571428572,0.9866543493579631,False,1.0
leather,6,1.0,0.9949867422720392,False,1.0
metal_nut,7,1.0,0.9728963481671314,True,1.0
Average,,0.9883134342734134,0.9826557948651058,,1.0
Task_0_Average,0,1.0,0.9845329764801869,,1.0
Task_1_Average,1,0.9788230884557722,0.9703120429903067,,1.0
Task_2_Average,2,0.944954128440367,0.9861773130059487,,1.0
Task_3_Average,3,0.9947833065810594,0.990545284908506,,1.0
Task_4_Average,4,0.9883040935672515,0.9751413017387645,,1.0
Task_5_Average,5,0.9996428571428572,0.9866543493579631,,1.0
Task_6_Average,6,1.0,0.9949867422720392,,1.0
Task_7_Average,7,1.0,0.9728963481671314,,1.0
