task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,175695.26979166668,9.984740801978984e-05,,,,,,
0,1.0,BASE,109403.14895833333,9.939057285945931e-05,,,,,,
0,2.0,BASE,38811.08776041667,9.863231105968498e-05,,,,,,
0,3.0,BASE,7303.44609375,9.75772975566101e-05,,,,,,
0,4.0,BASE,-13279.201139322917,9.623203685930868e-05,,,,,,
0,5.0,BASE,-29002.579557291665,9.46048229473242e-05,,,,,,
0,6.0,BASE,-40562.2203125,9.270568813552755e-05,,,,,,
0,7.0,BASE,-49688.423177083336,9.054634122155989e-05,,,,,,
0,8.0,BASE,-56893.1546875,8.814009529720152e-05,,,,,,
0,9.0,BASE,-63200.699479166666,8.550178566873408e-05,,,,,,
0,10.0,BASE,-68549.76041666667,8.264767839234409e-05,,,,,,
0,11.0,BASE,-72595.45260416667,7.959536998847741e-05,,,,,,
0,12.0,BASE,-76128.9984375,7.636367895343945e-05,,,,,,
0,13.0,BASE,-78735.02395833333,7.297252973710755e-05,,,,,,
0,14.0,BASE,-81273.8109375,6.944282990207194e-05,,,,,,
0,15.0,BASE,-83632.69947916667,6.57963412215599e-05,,,,,,
0,16.0,BASE,-86057.3,6.205554551086731e-05,,,,,,
0,17.0,BASE,-88185.3140625,5.824350601949142e-05,,,,,,
0,18.0,BASE,-90220.17864583334,5.438372523852832e-05,,,,,,
0,19.0,BASE,-92106.99791666666,5.0499999999999994e-05,,,,,,
0,20.0,BASE,-94003.56875,4.6616274761471674e-05,,,,,,
0,21.0,BASE,-95242.2328125,4.275649398050858e-05,,,,,,
0,22.0,BASE,-96523.71197916666,3.894445448913268e-05,,,,,,
0,23.0,BASE,-97626.33802083334,3.52036587784401e-05,,,,,,
0,24.0,BASE,-98763.31354166666,3.155717009792805e-05,,,,,,
0,25.0,BASE,-99804.50885416666,2.802747026289243e-05,,,,,,
0,26.0,BASE,-100806.51041666667,2.463632104656053e-05,,,,,,
0,27.0,BASE,-101558.26041666667,2.1404630011522583e-05,,,,,,
0,28.0,BASE,-102288.99791666666,1.835232160765591e-05,,,,,,
0,29.0,BASE,-103178.40833333334,1.5498214331265897e-05,,,,,,
0,30.0,BASE,-103494.56614583333,1.2859904702798466e-05,,,,,,
0,31.0,BASE,-103926.06822916666,1.0453658778440104e-05,,,,,,
0,32.0,BASE,-104385.315625,8.294311864472434e-06,,,,,,
0,33.0,BASE,-104836.70416666666,6.395177052675791e-06,,,,,,
0,34.0,BASE,-105139.57239583334,4.767963140691304e-06,,,,,,
0,35.0,BASE,-105182.80052083333,3.4227024433898985e-06,,,,,,
0,36.0,BASE,-105411.9421875,2.3676889403150093e-06,,,,,,
0,37.0,BASE,-105626.27083333333,1.6094271405406855e-06,,,,,,
0,38.0,BASE,-105639.66614583334,1.1525919802101657e-06,,,,,,
0,39.0,BASE,-105685.88489583334,1.0000000000000002e-06,,,,,,
1,0.0,FAST,338475.4375,5e-05,,,,,,
1,1.0,FAST,206955.3544921875,0.0001,,,,,,
1,2.0,FAST,87057.33666992188,9.984740801978984e-05,,,,,,
1,3.0,FAST,54428.895751953125,9.939057285945931e-05,,,,,,
1,4.0,FAST,44259.24072265625,9.863231105968498e-05,,,,,,
1,5.0,FAST,37744.367919921875,9.75772975566101e-05,,,,,,
1,6.0,FAST,32506.503295898438,9.623203685930868e-05,,,,,,
1,7.0,FAST,27347.691528320312,9.46048229473242e-05,,,,,,
1,8.0,FAST,22430.996215820312,9.270568813552755e-05,,,,,,
1,9.0,FAST,17550.8818359375,9.054634122155989e-05,,,,,,
1,10.0,FAST,13468.6015625,8.814009529720152e-05,,,,,,
1,11.0,FAST,10534.329681396484,8.550178566873408e-05,,,,,,
