class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9701008893853758,False,1.0
cable,1,0.9891304347826086,0.9719275158015939,False,1.0
capsule,2,0.947746310331073,0.9868659205382536,False,1.0
carpet,3,0.987158908507223,0.9820158245419192,False,1.0
grid,4,0.9791144527986633,0.9755195898807415,False,1.0
hazelnut,5,1.0,0.9850545124432829,False,1.0
leather,6,1.0,0.982142656775361,False,1.0
metal_nut,7,0.9995112414467253,0.9808209375953038,False,1.0
pill,8,0.9841789416257501,0.9876963029404638,False,1.0
screw,9,0.893625742980119,0.98519531861818,False,1.0
tile,10,1.0,0.9562151775422596,False,1.0
toothbrush,11,0.8972222222222224,0.9830065059514052,False,1.0
transistor,12,0.9987499999999999,0.9457341884028353,False,1.0
wood,13,0.9885964912280703,0.9275746672079092,True,1.0
Average,,0.9760739104230325,0.9728478576874916,,1.0
Task_0_Average,0,1.0,0.9701008893853758,,1.0
Task_1_Average,1,0.9891304347826086,0.9719275158015939,,1.0
Task_2_Average,2,0.947746310331073,0.9868659205382536,,1.0
Task_3_Average,3,0.987158908507223,0.9820158245419192,,1.0
Task_4_Average,4,0.9791144527986633,0.9755195898807415,,1.0
Task_5_Average,5,1.0,0.9850545124432829,,1.0
Task_6_Average,6,1.0,0.982142656775361,,1.0
Task_7_Average,7,0.9995112414467253,0.9808209375953038,,1.0
Task_8_Average,8,0.9841789416257501,0.9876963029404638,,1.0
Task_9_Average,9,0.893625742980119,0.98519531861818,,1.0
Task_10_Average,10,1.0,0.9562151775422596,,1.0
Task_11_Average,11,0.8972222222222224,0.9830065059514052,,1.0
Task_12_Average,12,0.9987499999999999,0.9457341884028353,,1.0
Task_13_Average,13,0.9885964912280703,0.9275746672079092,,1.0
