metric,value
experiment_name,Version4.2-ScoreAgg_topk10
strategy,MoLE-Flow
final_average_img_auc,0.8662524366471734
final_average_pixel_auc,0.9357339277986831
final_average_img_ap,0.8910926304629804
final_average_pixel_ap,0.2868848367530952
total_classes,3
total_tasks,3
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
leather_img_auc,1.0
leather_pixel_auc,0.9720243167306033
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.18987853640853375
grid_img_auc,0.8362573099415205
grid_pixel_auc,0.908163496839252
grid_img_ap,0.9397461175305934
grid_pixel_ap,0.14941793501949413
transistor_img_auc,0.7625
transistor_pixel_auc,0.9270139698261941
transistor_img_ap,0.7335317738583471
transistor_pixel_ap,0.5213580388312576
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
oracle_mean_img_auc,0.8662524366471734
oracle_mean_pixel_auc,0.9357339277986831
