class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9771199738478622,False,1.0
cable,1,0.992503748125937,0.9760239464741668,False,1.0
capsule,2,0.9565217391304348,0.9859906260344927,False,1.0
carpet,3,0.9915730337078651,0.9849506724844718,False,1.0
grid,4,0.9841269841269842,0.975691559899821,True,1.0
Average,,0.9849451010182442,0.9799553557481631,,1.0
Task_0_Average,0,1.0,0.9771199738478622,,1.0
Task_1_Average,1,0.992503748125937,0.9760239464741668,,1.0
Task_2_Average,2,0.9565217391304348,0.9859906260344927,,1.0
Task_3_Average,3,0.9915730337078651,0.9849506724844718,,1.0
Task_4_Average,4,0.9841269841269842,0.975691559899821,,1.0
