class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,0.9952380952380953,0.9745121353762854,False,1.0
cable,0,0.74643928035982,0.5515649419721486,False,1.0
capsule,0,0.8568009573195055,0.9526091798979115,False,1.0
carpet,1,0.7909309791332262,0.9816238180768616,False,1.0
grid,1,0.45781119465329995,0.8457726869159188,False,1.0
hazelnut,1,0.9964285714285714,0.9798009922243709,False,1.0
leather,2,0.8957201086956521,0.9883526439301894,False,1.0
metal_nut,2,0.9838709677419354,0.8737630731149567,False,1.0
pill,2,0.9459901800327333,0.9730993522500762,False,0.9880239520958084
screw,3,0.7214593154334905,0.952850798977553,False,1.0
tile,3,0.8805916305916306,0.6805105207262762,False,0.9658119658119658
toothbrush,3,0.8055555555555556,0.9738161643930652,False,0.9523809523809523
transistor,4,0.7808333333333333,0.6578922697046894,True,1.0
wood,4,0.7991228070175439,0.8883828026319003,True,1.0
zipper,4,0.9180672268907564,0.9708298660139015,True,1.0
Average,,0.8383240135616765,0.8830254164137402,,0.9937477913525818
Task_0_Average,0,0.8661594443058069,0.8262287524154486,,1.0
Task_1_Average,1,0.7483902484050325,0.9357324990723838,,1.0
Task_2_Average,2,0.9418604188234402,0.945071689765074,,0.9960079840319361
Task_3_Average,3,0.8025355005268923,0.8690591613656314,,0.9727309727309729
Task_4_Average,4,0.8326744557472111,0.8390349794501638,,1.0
