class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9667376747459432,False,1.0
cable,1,0.9930659670164917,0.9762150829550672,False,1.0
capsule,2,0.9629038691663343,0.9845635512869412,False,1.0
carpet,3,0.9907704654895666,0.9816698517217958,False,1.0
grid,4,0.9916457811194653,0.9742015122078286,False,1.0
hazelnut,5,1.0,0.9842846945425474,False,1.0
leather,6,1.0,0.9793538199968649,False,1.0
metal_nut,7,0.9995112414467253,0.9810162729104526,False,1.0
pill,8,0.9836333878887071,0.9883365888240851,True,1.0
Average,,0.9912811902363656,0.9795976721323919,,1.0
Task_0_Average,0,1.0,0.9667376747459432,,1.0
Task_1_Average,1,0.9930659670164917,0.9762150829550672,,1.0
Task_2_Average,2,0.9629038691663343,0.9845635512869412,,1.0
Task_3_Average,3,0.9907704654895666,0.9816698517217958,,1.0
Task_4_Average,4,0.9916457811194653,0.9742015122078286,,1.0
Task_5_Average,5,1.0,0.9842846945425474,,1.0
Task_6_Average,6,1.0,0.9793538199968649,,1.0
Task_7_Average,7,0.9995112414467253,0.9810162729104526,,1.0
Task_8_Average,8,0.9836333878887071,0.9883365888240851,,1.0
