class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9626421646892332,False,1.0
cable,1,0.9917541229385307,0.9746093514467308,False,1.0
capsule,2,0.9457518946948544,0.9852132822531915,False,1.0
carpet,3,0.9851524879614767,0.9812786633420856,False,1.0
grid,4,0.9866332497911445,0.9749239723020418,False,1.0
hazelnut,5,1.0,0.9843089610359744,False,1.0
leather,6,1.0,0.9807733275043315,True,1.0
Average,,0.9870416793408581,0.977678531796227,,1.0
Task_0_Average,0,1.0,0.9626421646892332,,1.0
Task_1_Average,1,0.9917541229385307,0.9746093514467308,,1.0
Task_2_Average,2,0.9457518946948544,0.9852132822531915,,1.0
Task_3_Average,3,0.9851524879614767,0.9812786633420856,,1.0
Task_4_Average,4,0.9866332497911445,0.9749239723020418,,1.0
Task_5_Average,5,1.0,0.9843089610359744,,1.0
Task_6_Average,6,1.0,0.9807733275043315,,1.0
