class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9761529172461257,False,1.0
cable,1,0.9923163418290855,0.9755971878139643,False,1.0
capsule,2,0.9601116872756282,0.9858145176833463,False,1.0
carpet,3,0.9947833065810594,0.9856631307582082,False,1.0
grid,4,0.9866332497911445,0.9740440548244226,False,1.0
hazelnut,5,1.0,0.9853869393428362,True,1.0
Average,,0.9889740975794862,0.980443124611484,,1.0
Task_0_Average,0,1.0,0.9761529172461257,,1.0
Task_1_Average,1,0.9923163418290855,0.9755971878139643,,1.0
Task_2_Average,2,0.9601116872756282,0.9858145176833463,,1.0
Task_3_Average,3,0.9947833065810594,0.9856631307582082,,1.0
Task_4_Average,4,0.9866332497911445,0.9740440548244226,,1.0
Task_5_Average,5,1.0,0.9853869393428362,,1.0
