task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,1234818.7836538462,0.0002997964859110542,,,,,,
0,1.0,BASE,738006.7836538461,0.00029918650146218856,,,,,,
0,2.0,BASE,559810.2115384615,0.00029817171857837797,,,,,,
0,3.0,BASE,407124.73557692306,0.00029675491870897016,,,,,,
0,4.0,BASE,281521.8497596154,0.00029493998520392666,,,,,,
0,5.0,BASE,190749.93149038462,0.0002927318926698304,,,,,,
0,6.0,BASE,118972.05288461539,0.0002901366933348345,,,,,,
0,7.0,BASE,68229.10637019231,0.0002871615004599263,,,,,,
0,8.0,BASE,36004.01600060096,0.0002838144688419727,,,,,,
0,9.0,BASE,3680.3845731295073,0.00028010477246198927,,,,,,
0,10.0,BASE,-22572.202599158652,0.00027604257933989555,,,,,,
0,11.0,BASE,-49952.710486778844,0.00027163902366467976,,,,,,
0,12.0,BASE,-75754.88641826923,0.00026690617527636023,,,,,,
0,13.0,BASE,-101946.73497596153,0.0002618570065833931,,,,,,
0,14.0,BASE,-125914.19170673077,0.0002565053570062024,,,,,,
0,15.0,BASE,-144986.25360576922,0.00025086589504429055,,,,,,
0,16.0,BASE,-160213.88942307694,0.00024495407807090095,,,,,,
0,17.0,BASE,-176022.1358173077,0.00023878610996543232,,,,,,
0,18.0,BASE,-182777.25240384616,0.00023237889669973157,,,,,,
0,19.0,BASE,-197112.6514423077,0.00022575000000000004,,,,,,
0,20.0,BASE,-209676.39423076922,0.00021891758921132272,,,,,,
0,21.0,BASE,-223384.80649038462,0.0002119003914967564,,,,,,
0,22.0,BASE,-236157.76201923078,0.00020471764050747717,,,,,,
0,23.0,BASE,-248846.1514423077,0.00019738902366467974,,,,,,
0,24.0,BASE,-260497.62379807694,0.00018993462819772436,,,,,,
0,25.0,BASE,-270971.1225961539,0.00018237488608643726,,,,,,
0,26.0,BASE,-280522.41826923075,0.0001747305180584743,,,,,,
0,27.0,BASE,-290000.8221153846,0.00016702247679524656,,,,,,
0,28.0,BASE,-296663.99278846156,0.00015927188950207714,,,,,,
0,29.0,BASE,-305153.3125,0.00015150000000000002,,,,,,
0,30.0,BASE,-313131.625,0.00014372811049792285,,,,,,
0,31.0,BASE,-319869.0649038461,0.00013597752320475346,,,,,,
0,32.0,BASE,-327454.5408653846,0.0001282694819415257,,,,,,
0,33.0,BASE,-333406.5336538461,0.00012062511391356272,,,,,,
0,34.0,BASE,-339437.5096153846,0.00011306537180227568,,,,,,
0,35.0,BASE,-345598.94471153844,0.00010561097633532032,,,,,,
0,36.0,BASE,-351045.625,9.828235949252291e-05,,,,,,
0,37.0,BASE,-356716.35817307694,9.10996085032437e-05,,,,,,
0,38.0,BASE,-361718.23076923075,8.408241078867731e-05,,,,,,
0,39.0,BASE,-366522.7596153846,7.725000000000003e-05,,,,,,
0,40.0,BASE,-370877.1971153846,7.062110330026853e-05,,,,,,
0,41.0,BASE,-374929.61778846156,6.421389003456776e-05,,,,,,
0,42.0,BASE,-378147.38701923075,5.804592192909917e-05,,,,,,
0,43.0,BASE,-381424.26923076925,5.213410495570961e-05,,,,,,
0,44.0,BASE,-384691.46153846156,4.6494642993797704e-05,,,,,,
0,45.0,BASE,-387267.0600961539,4.114299341660699e-05,,,,,,
0,46.0,BASE,-390574.1201923077,3.6093824723639826e-05,,,,,,
0,47.0,BASE,-392812.4639423077,3.136097633532032e-05,,,,,,
0,48.0,BASE,-395313.1201923077,2.6957420660104545e-05,,,,,,
0,49.0,BASE,-397566.38701923075,2.2895227538010853e-05,,,,,,
0,50.0,BASE,-399232.2451923077,1.9185531158027386e-05,,,,,,
0,51.0,BASE,-400890.76923076925,1.5838499540073755e-05,,,,,,
0,52.0,BASE,-402231.29807692306,1.286330666516554e-05,,,,,,
0,53.0,BASE,-403921.11778846156,1.0268107330169699e-05,,,,,,
0,54.0,BASE,-404783.6658653846,8.060014796073354e-06,,,,,,
0,55.0,BASE,-405714.57692307694,6.245081291029853e-06,,,,,,
0,56.0,BASE,-406496.7788461539,4.828281421622056e-06,,,,,,
0,57.0,BASE,-407250.7836538461,3.813498537811399e-06,,,,,,
0,58.0,BASE,-407831.5336538461,3.2035140889457853e-06,,,,,,
0,59.0,BASE,-408121.36057692306,2.9999999999999997e-06,,,,,,
1,0.0,FAST,17557188.589285713,0.00015,,,,,,
1,1.0,FAST,946206.9821428572,0.0003,,,,,,
1,2.0,FAST,544590.8839285715,0.0002997964859110542,,,,,,
1,3.0,FAST,438312.48214285716,0.00029918650146218856,,,,,,
1,4.0,FAST,411505.77678571426,0.00029817171857837797,,,,,,
1,5.0,FAST,384544.9464285714,0.00029675491870897016,,,,,,
1,6.0,FAST,348447.046875,0.00029493998520392666,,,,,,
1,7.0,FAST,310892.87053571426,0.0002927318926698304,,,,,,
1,8.0,FAST,278469.56473214284,0.0002901366933348345,,,,,,
1,9.0,FAST,252947.44308035713,0.0002871615004599263,,,,,,
1,10.0,FAST,233386.13392857142,0.0002838144688419727,,,,,,
1,11.0,FAST,217875.265625,0.00028010477246198927,,,,,,
1,12.0,FAST,204404.08370535713,0.00027604257933989555,,,,,,
1,13.0,FAST,192265.13839285713,0.00027163902366467976,,,,,,
1,14.0,FAST,180778.17410714287,0.00026690617527636023,,,,,,
1,15.0,FAST,169928.83370535713,0.0002618570065833931,,,,,,
1,16.0,FAST,160248.7455357143,0.0002565053570062024,,,,,,
1,17.0,FAST,151626.8861607143,0.00025086589504429055,,,,,,
1,18.0,FAST,143170.04575892858,0.00024495407807090095,,,,,,
1,19.0,FAST,135912.36997767858,0.00023878610996543232,,,,,,
1,20.0,FAST,128245.62611607143,0.00023237889669973157,,,,,,
1,21.0,FAST,121454.05636160714,0.00022575000000000004,,,,,,
1,22.0,FAST,115392.80133928571,0.00021891758921132272,,,,,,
1,23.0,FAST,109630.03180803571,0.0002119003914967564,,,,,,
1,24.0,FAST,104610.39118303571,0.00020471764050747717,,,,,,
1,25.0,FAST,99724.92299107143,0.00019738902366467974,,,,,,
1,26.0,FAST,95142.11383928571,0.00018993462819772436,,,,,,
1,27.0,FAST,90472.11383928571,0.00018237488608643726,,,,,,
1,28.0,FAST,85853.69308035714,0.0001747305180584743,,,,,,
1,29.0,FAST,81528.10546875,0.00016702247679524656,,,,,,
