class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
candle,0,0.8843000000000001,0.985997225690425,False,1.0
capsules,1,0.6743333333333335,0.9581851573392102,False,1.0
cashew,2,0.8794,0.9832518501481499,False,1.0
chewinggum,3,0.9630000000000001,0.9846817116115261,False,1.0
fryum,4,0.9359999999999999,0.9393856513553365,False,1.0
macaroni1,5,0.7609,0.9734412924715053,False,1.0
macaroni2,6,0.6597000000000001,0.9571705763605164,False,1.0
pcb1,7,0.8428,0.9898990584370534,False,1.0
pcb2,8,0.7309,0.948344714816886,True,1.0
Average,,0.8145925925925925,0.9689285820256232,,1.0
Task_0_Average,0,0.8843000000000001,0.985997225690425,,1.0
Task_1_Average,1,0.6743333333333335,0.9581851573392102,,1.0
Task_2_Average,2,0.8794,0.9832518501481499,,1.0
Task_3_Average,3,0.9630000000000001,0.9846817116115261,,1.0
Task_4_Average,4,0.9359999999999999,0.9393856513553365,,1.0
Task_5_Average,5,0.7609,0.9734412924715053,,1.0
Task_6_Average,6,0.6597000000000001,0.9571705763605164,,1.0
Task_7_Average,7,0.8428,0.9898990584370534,,1.0
Task_8_Average,8,0.7309,0.948344714816886,,1.0
