class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
candle,0,0.8757000000000001,0.9225589655056421,False,1.0
capsules,1,0.7365833333333333,0.9583418238959731,False,1.0
cashew,2,0.889,0.9665559397879047,False,1.0
chewinggum,3,0.9436,0.9855010874343069,False,1.0
fryum,4,0.9456,0.8467905691490936,False,1.0
macaroni1,5,0.8183499999999999,0.973560882373638,False,1.0
macaroni2,6,0.7305,0.8458102059297408,False,1.0
pcb1,7,0.9216000000000001,0.9876546147996231,False,1.0
pcb2,8,0.8647,0.9509148657281407,True,1.0
Average,,0.8584037037037038,0.937520994956007,,1.0
Task_0_Average,0,0.8757000000000001,0.9225589655056421,,1.0
Task_1_Average,1,0.7365833333333333,0.9583418238959731,,1.0
Task_2_Average,2,0.889,0.9665559397879047,,1.0
Task_3_Average,3,0.9436,0.9855010874343069,,1.0
Task_4_Average,4,0.9456,0.8467905691490936,,1.0
Task_5_Average,5,0.8183499999999999,0.973560882373638,,1.0
Task_6_Average,6,0.7305,0.8458102059297408,,1.0
Task_7_Average,7,0.9216000000000001,0.9876546147996231,,1.0
Task_8_Average,8,0.8647,0.9509148657281407,,1.0
