class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9588291471851399,False,1.0
cable,1,0.9846326836581708,0.9721113056246256,False,1.0
capsule,2,0.8671719186278422,0.9834958967007263,False,1.0
carpet,3,0.9875601926163723,0.9800591956016849,False,1.0
grid,4,0.9824561403508772,0.9746844276523278,False,1.0
hazelnut,5,1.0,0.9834856120679348,True,1.0
Average,,0.9703034892088772,0.9754442641387399,,1.0
Task_0_Average,0,1.0,0.9588291471851399,,1.0
Task_1_Average,1,0.9846326836581708,0.9721113056246256,,1.0
Task_2_Average,2,0.8671719186278422,0.9834958967007263,,1.0
Task_3_Average,3,0.9875601926163723,0.9800591956016849,,1.0
Task_4_Average,4,0.9824561403508772,0.9746844276523278,,1.0
Task_5_Average,5,1.0,0.9834856120679348,,1.0
