class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9829468262949693,False,1.0
cable,1,0.9900674662668665,0.9757085558662781,False,1.0
capsule,2,0.9644994016753092,0.9864345742648712,False,1.0
carpet,3,0.9951845906902086,0.9897106362756479,False,1.0
grid,4,0.9908103592314119,0.9767162938754503,False,1.0
hazelnut,5,1.0,0.9872169227792542,False,1.0
leather,6,1.0,0.9932903361936335,False,1.0
metal_nut,7,1.0,0.973365266186428,False,1.0
pill,8,0.9888161483906165,0.9902930304956632,True,1.0
Average,,0.9921531073616016,0.9839647158035775,,1.0
Task_0_Average,0,1.0,0.9829468262949693,,1.0
Task_1_Average,1,0.9900674662668665,0.9757085558662781,,1.0
Task_2_Average,2,0.9644994016753092,0.9864345742648712,,1.0
Task_3_Average,3,0.9951845906902086,0.9897106362756479,,1.0
Task_4_Average,4,0.9908103592314119,0.9767162938754503,,1.0
Task_5_Average,5,1.0,0.9872169227792542,,1.0
Task_6_Average,6,1.0,0.9932903361936335,,1.0
Task_7_Average,7,1.0,0.973365266186428,,1.0
Task_8_Average,8,0.9888161483906165,0.9902930304956632,,1.0
