class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9657726042902425,False,1.0
cable,1,0.9913793103448276,0.9772943594467037,False,1.0
capsule,2,0.9676904666932589,0.9845723969650032,False,1.0
carpet,3,0.9931781701444622,0.981816667860297,False,1.0
grid,4,0.9924812030075187,0.9740096367453003,False,1.0
hazelnut,5,1.0,0.9844033243888929,False,1.0
leather,6,1.0,0.979322840552413,False,1.0
metal_nut,7,0.9995112414467253,0.9795301975467591,False,1.0
pill,8,0.9830878341516639,0.988193200610524,False,1.0
screw,9,0.9305185488829679,0.9866039921943386,False,1.0
tile,10,1.0,0.9562704878726963,False,1.0
toothbrush,11,0.8972222222222221,0.9801199350009764,False,1.0
transistor,12,1.0,0.9670787676663415,False,1.0
wood,13,0.9894736842105264,0.9220372602258223,False,1.0
zipper,14,0.9863445378151261,0.9722665542940998,True,1.0
Average,,0.9820591479279535,0.9732861483773607,,1.0
Task_0_Average,0,1.0,0.9657726042902425,,1.0
Task_1_Average,1,0.9913793103448276,0.9772943594467037,,1.0
Task_2_Average,2,0.9676904666932589,0.9845723969650032,,1.0
Task_3_Average,3,0.9931781701444622,0.981816667860297,,1.0
Task_4_Average,4,0.9924812030075187,0.9740096367453003,,1.0
Task_5_Average,5,1.0,0.9844033243888929,,1.0
Task_6_Average,6,1.0,0.979322840552413,,1.0
Task_7_Average,7,0.9995112414467253,0.9795301975467591,,1.0
Task_8_Average,8,0.9830878341516639,0.988193200610524,,1.0
Task_9_Average,9,0.9305185488829679,0.9866039921943386,,1.0
Task_10_Average,10,1.0,0.9562704878726963,,1.0
Task_11_Average,11,0.8972222222222221,0.9801199350009764,,1.0
Task_12_Average,12,1.0,0.9670787676663415,,1.0
Task_13_Average,13,0.9894736842105264,0.9220372602258223,,1.0
Task_14_Average,14,0.9863445378151261,0.9722665542940998,,1.0
