class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
candle,0,0.8291,0.9762387953440477,False,1.0
capsules,1,0.6948333333333334,0.9594554685896041,False,1.0
cashew,2,0.8266000000000001,0.9801050903342139,False,1.0
chewinggum,3,0.8456,0.9854386529589736,False,1.0
fryum,4,0.9534,0.9257119003634824,True,1.0
Average,,0.8299066666666667,0.9653899815180642,,1.0
Task_0_Average,0,0.8291,0.9762387953440477,,1.0
Task_1_Average,1,0.6948333333333334,0.9594554685896041,,1.0
Task_2_Average,2,0.8266000000000001,0.9801050903342139,,1.0
Task_3_Average,3,0.8456,0.9854386529589736,,1.0
Task_4_Average,4,0.9534,0.9257119003634824,,1.0
