Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9837,1.0000,0.7420
1,cable,100.00,0.9824,0.9716,0.9911,0.6000
2,capsule,100.00,0.9513,0.9868,0.9887,0.3957
3,carpet,100.00,0.9968,0.9904,0.9990,0.6478
4,grid,100.00,0.9866,0.9756,0.9954,0.2606
5,hazelnut,100.00,0.9996,0.9873,0.9998,0.5903
6,leather,100.00,1.0000,0.9944,1.0000,0.4906
7,metal_nut,100.00,1.0000,0.9723,1.0000,0.7874
8,pill,100.00,0.9883,0.9897,0.9980,0.8015
9,screw,100.00,0.9180,0.9782,0.9692,0.2220
10,tile,100.00,1.0000,0.9700,1.0000,0.7262
11,toothbrush,100.00,0.9222,0.9838,0.9682,0.5632
12,transistor,100.00,0.9958,0.9678,0.9937,0.6515
13,wood,100.00,0.9781,0.9451,0.9925,0.5120
14,zipper,100.00,0.9887,0.9753,0.9970,0.3792
Mean,Overall,100.00,0.9805*,0.9781*,0.9928*,0.5580*
