timestamp,task_id,epoch,bottle_img_auc,bottle_pixel_auc,bottle_routing_acc,cable_img_auc,cable_pixel_auc,cable_routing_acc,capsule_img_auc,capsule_pixel_auc,capsule_routing_acc,carpet_img_auc,carpet_pixel_auc,carpet_routing_acc,grid_img_auc,grid_pixel_auc,grid_routing_acc,hazelnut_img_auc,hazelnut_pixel_auc,hazelnut_routing_acc,leather_img_auc,leather_pixel_auc,leather_routing_acc,metal_nut_img_auc,metal_nut_pixel_auc,metal_nut_routing_acc,pill_img_auc,pill_pixel_auc,pill_routing_acc,screw_img_auc,screw_pixel_auc,screw_routing_acc,tile_img_auc,tile_pixel_auc,tile_routing_acc,toothbrush_img_auc,toothbrush_pixel_auc,toothbrush_routing_acc,transistor_img_auc,transistor_pixel_auc,transistor_routing_acc,mean_img_auc,mean_pixel_auc,mean_routing_acc
2026-01-01 20:17:29,12,59,1.0,0.9642427840405335,1.0,0.9921289355322338,0.9749604950112697,1.0,0.9501396090945353,0.985406664213742,1.0,0.9839486356340288,0.9816859213857974,1.0,0.9916457811194653,0.9753899973286557,1.0,1.0,0.984468122738997,1.0,1.0,0.98157011046375,1.0,1.0,0.9844252999176394,1.0,0.9841789416257501,0.9882240618174136,1.0,0.8960852633736421,0.9828421297900877,1.0,1.0,0.9575793878877309,1.0,0.9111111111111111,0.9809694077842606,1.0,1.0,0.9671402826091261,1.0,0.9776337136531359,0.9776080511530002,1.0
