class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
leather,0,1.0,0.9720243167306033,False,1.0
grid,1,0.8955722639933166,0.908163496839252,False,1.0
transistor,2,0.7754166666666666,0.9270139698261941,False,1.0
carpet,3,0.975521669341894,0.9648025089234928,False,1.0
zipper,4,0.9288340336134454,0.855024440703741,True,1.0
Average,,0.9150689267230645,0.9254057466046566,,1.0
Task_0_Average,0,1.0,0.9720243167306033,,1.0
Task_1_Average,1,0.8955722639933166,0.908163496839252,,1.0
Task_2_Average,2,0.7754166666666666,0.9270139698261941,,1.0
Task_3_Average,3,0.975521669341894,0.9648025089234928,,1.0
Task_4_Average,4,0.9288340336134454,0.855024440703741,,1.0
