class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
candle,0,0.8864000000000001,0.8624398931220835,False,1.0
capsules,1,0.8866666666666666,0.957693107613983,False,1.0
cashew,2,0.9792000000000001,0.9797843271329897,False,1.0
chewinggum,3,0.9328,0.9488896788870392,False,1.0
fryum,4,0.9302,0.9341480143208761,False,1.0
macaroni1,5,0.8636,0.8989626187776902,False,1.0
macaroni2,6,0.6802,0.7770983903083194,False,1.0
pcb1,7,0.9468,0.9821216874960037,False,1.0
pcb2,8,0.9044,0.9593351894478818,True,1.0
Average,,0.8900296296296296,0.9222747674563185,,1.0
Task_0_Average,0,0.8864000000000001,0.8624398931220835,,1.0
Task_1_Average,1,0.8866666666666666,0.957693107613983,,1.0
Task_2_Average,2,0.9792000000000001,0.9797843271329897,,1.0
Task_3_Average,3,0.9328,0.9488896788870392,,1.0
Task_4_Average,4,0.9302,0.9341480143208761,,1.0
Task_5_Average,5,0.8636,0.8989626187776902,,1.0
Task_6_Average,6,0.6802,0.7770983903083194,,1.0
Task_7_Average,7,0.9468,0.9821216874960037,,1.0
Task_8_Average,8,0.9044,0.9593351894478818,,1.0
