class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
candle,0,0.8240999999999999,0.9702424138949406,False,1.0
capsules,1,0.6980000000000001,0.9624885491807847,False,1.0
cashew,2,0.8051999999999999,0.9766699060811256,False,1.0
chewinggum,3,0.828,0.987509933341459,False,1.0
fryum,4,0.9558,0.917329105084222,False,1.0
macaroni1,5,0.7421,0.9825154183921004,True,1.0
Average,,0.8088666666666667,0.9661258876624387,,1.0
Task_0_Average,0,0.8240999999999999,0.9702424138949406,,1.0
Task_1_Average,1,0.6980000000000001,0.9624885491807847,,1.0
Task_2_Average,2,0.8051999999999999,0.9766699060811256,,1.0
Task_3_Average,3,0.828,0.987509933341459,,1.0
Task_4_Average,4,0.9558,0.917329105084222,,1.0
Task_5_Average,5,0.7421,0.9825154183921004,,1.0
